"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1971,NA,"Average",2,1428,3,1,1,5,0,203600,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,194200,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1930,NA,"Average",1,988,2,1,0,4,2.001,227800,"CHARLOTTESVILLE"
1971,2021,"Good",2,1428,3,1,1,5,0,214600,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,195500,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Poor",2,1428,3,1,1,5,0,145500,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,211800,"CHARLOTTESVILLE"
1973,2019,"Good",2,1428,3,1,1,5,0,210600,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,208100,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,208100,"CHARLOTTESVILLE"
1973,NA,"Excellent",2,1428,3,1,1,5,0,218500,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,197500,"CHARLOTTESVILLE"
1972,NA,"Good",2,1428,3,1,1,5,0,220400,"CHARLOTTESVILLE"
1972,NA,"Good",2,1428,3,1,1,5,0,206400,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1995,NA,"Average",1.9,2792,3,2,1,8,3.4,577700,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,195000,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,203100,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1972,NA,"Good",2,1428,3,1,1,5,0,206400,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,208200,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,207000,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1972,NA,"Good",2,1428,3,1,1,5,0,206400,"CHARLOTTESVILLE"
1972,NA,"Good",2,1470,3,1,1,6,0,209700,"CHARLOTTESVILLE"
1972,NA,"Excellent",2,1428,3,1,1,5,0,217900,"CHARLOTTESVILLE"
1972,2020,"Good",2,1428,3,1,1,5,0,208300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,202500,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1971,NA,"Good",2,1428,3,1,1,5,0,206400,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1971,NA,"Excellent",2,1486,3,1,1,5,0,224000,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1971,NA,"Good",2,1428,3,1,1,5,0,206400,"CHARLOTTESVILLE"
1971,2020,"Good",2,1428,3,1,1,5,0,227900,"CHARLOTTESVILLE"
1971,NA,"Good",2,1428,3,1,1,5,0,215800,"CHARLOTTESVILLE"
1971,NA,"Fair",2,1428,3,1,1,5,0,168600,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,195500,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1972,NA,"Good",2,1428,3,1,1,5,0,206400,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,195000,"CHARLOTTESVILLE"
1972,NA,"Average",2,1428,3,1,1,5,0,204600,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1987,NA,"Average",1.3,2088,3,2,1,7,2.005,438400,"CHARLOTTESVILLE"
1973,NA,"Good",2,1486,3,1,1,5,0,212000,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,208100,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Excellent",2,1428,3,1,1,5,0,217800,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,204400,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Excellent",2,1428,3,1,1,5,0,217900,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,208100,"CHARLOTTESVILLE"
1973,2020,"Excellent",2,1428,3,1,1,5,0,220800,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,202800,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,216300,"CHARLOTTESVILLE"
1973,NA,"Excellent",2,1428,3,1,1,5,0,219400,"CHARLOTTESVILLE"
1988,2010,"Good",2,2449,4,3,2,8,2.001,609600,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,193300,"CHARLOTTESVILLE"
1973,NA,"Average",2,1428,3,1,1,5,0,201300,"CHARLOTTESVILLE"
1973,NA,"Fair",2,1428,3,1,1,5,0,177800,"CHARLOTTESVILLE"
1973,2019,"Good",2,1428,3,1,1,5,0,209000,"CHARLOTTESVILLE"
1973,2021,"Good",2,1428,3,1,1,5,0,208900,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,211400,"CHARLOTTESVILLE"
1973,NA,"Good",2,1428,3,1,1,5,0,210300,"CHARLOTTESVILLE"
2008,NA,"Average",2,1428,3,1,1,5,0,218000,"CHARLOTTESVILLE"
1975,2021,"Excellent",1,1120,4,2,0,7,0,324300,"CHARLOTTESVILLE"
1976,NA,"Average",1.5,1456,3,2,0,5,0,289700,"CHARLOTTESVILLE"
1988,NA,"Average",1,1754,3,2,0,5,0.153,327900,"CHARLOTTESVILLE"
1990,NA,"Average",1,1520,3,2,0,5,0,314300,"CHARLOTTESVILLE"
1971,NA,"Average",2,1428,3,1,1,5,0,248100,"CHARLOTTESVILLE"
1973,NA,"Average",2,1662,4,3,0,5,0.3,337100,"CHARLOTTESVILLE"
1973,NA,"Average",1,1561,3,2,0,6,0,300200,"CHARLOTTESVILLE"
2006,NA,"Average",2,2452,3,3,1,0,0.085,479000,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,0,0.051,394900,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,0,0.051,386700,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,3,1,0,0.051,399500,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,0,0.051,386700,"CHARLOTTESVILLE"
2006,NA,"Average",2,2452,4,3,1,9,0.085,491700,"CHARLOTTESVILLE"
2006,NA,"Average",2,2452,3,3,1,0,0.086,492700,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,3,1,0,0.051,4e+05,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,3,1,0,0.051,397400,"CHARLOTTESVILLE"
2005,NA,"Average",2,1838,3,3,1,0,0.051,401300,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,3,1,0,0.051,4e+05,"CHARLOTTESVILLE"
2005,NA,"Average",2,2452,3,3,1,0,0.086,487500,"CHARLOTTESVILLE"
2006,NA,"Average",2,2452,2,3,1,0,0.113,492700,"CHARLOTTESVILLE"
2006,NA,"Average",2,1842,4,3,1,7,0.065,411300,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,0,0.064,389400,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,0,0.062,389400,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,0,0.06,389400,"CHARLOTTESVILLE"
2006,NA,"Average",2,1824,3,2,1,5,0.058,386500,"CHARLOTTESVILLE"
2006,NA,"Average",2,1838,3,2,1,0,0.057,390700,"CHARLOTTESVILLE"
2006,NA,"Average",2,2452,3,2,1,0,0.091,474000,"CHARLOTTESVILLE"
2005,NA,"Average",2,2452,3,3,1,0,0.091,482600,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,2,1,6,0.055,383500,"CHARLOTTESVILLE"
2005,NA,"Good",2,1838,4,3,1,0,0.055,432000,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,2,1,0,0.056,386200,"CHARLOTTESVILLE"
2005,NA,"Average",2,1842,3,2,1,6,0.056,392100,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,3,1,0,0.056,400600,"CHARLOTTESVILLE"
2005,NA,"Average",2,1824,3,2,1,0,0.056,386200,"CHARLOTTESVILLE"
2005,NA,"Average",2,2452,3,2,1,0,0.095,470000,"CHARLOTTESVILLE"
1960,NA,"Average",1,2068,4,2,1,9,3.74,394500,"CHARLOTTESVILLE"
1967,NA,"Average",1,1881,4,3,0,8,3.29,371700,"CHARLOTTESVILLE"
1959,NA,"Average",1,2352,4,2,1,8,6.42,462500,"CHARLOTTESVILLE"
1960,NA,"Fair",1,1512,4,3,0,7,5.74,390600,"CHARLOTTESVILLE"
1959,NA,"Fair",1,1508,4,2,1,7,3.34,325700,"CHARLOTTESVILLE"
1957,NA,"Average",1.5,1953,4,2,0,8,3.76,346600,"CHARLOTTESVILLE"
1959,NA,"Average",1,1941,4,3,0,7,3.67,393600,"CHARLOTTESVILLE"
1958,NA,"Average",1,2088,3,2,1,8,5.35,446600,"CHARLOTTESVILLE"
1960,NA,"Average",1,2110,3,4,0,7,5.84,500700,"CHARLOTTESVILLE"
1965,NA,"Average",1,1980,4,2,1,8,4.06,430000,"CHARLOTTESVILLE"
1958,NA,"Average",1,2220,4,2,1,8,3.56,467800,"CHARLOTTESVILLE"
1962,NA,"Average",1,1560,4,2,0,8,3.11,341700,"CHARLOTTESVILLE"
1960,NA,"Average",1,1792,3,3,0,7,3.1,407800,"CHARLOTTESVILLE"
1959,NA,"Fair",1,1928,4,2,0,8,3.094,348300,"CHARLOTTESVILLE"
1975,NA,"Average",1,1125,3,3,1,7,0.4,407100,"CHARLOTTESVILLE"
1979,NA,"Average",1,1352,3,2,1,7,0.3482,392600,"CHARLOTTESVILLE"
1978,NA,"Average",1.7,1728,3,2,1,8,0.3361,411200,"CHARLOTTESVILLE"
1974,NA,"Average",1,1275,2,2,0,5,0.3313,395600,"CHARLOTTESVILLE"
1986,NA,"Average",1,1056,3,2,0,6,0.3304,345200,"CHARLOTTESVILLE"
1978,2017,"Excellent",2,1440,3,2,1,6,0.298,414400,"CHARLOTTESVILLE"
1977,NA,"Good",2,1440,3,2,2,6,0.2625,451300,"CHARLOTTESVILLE"
1978,NA,"Fair",3,1275,3,2,1,7,0.2456,322800,"CHARLOTTESVILLE"
1977,NA,"Good",2,2422,5,3,1,10,0.2996,457200,"CHARLOTTESVILLE"
1978,NA,"Average",1.7,1918,3,2,1,7,0.291,396300,"CHARLOTTESVILLE"
1978,NA,"Good",1,1472,4,3,0,9,0.3013,417400,"CHARLOTTESVILLE"
1987,NA,"Average",1,1556,3,2,0,6,0.2699,365800,"CHARLOTTESVILLE"
1979,NA,"Average",1,1300,3,2,1,7,0.2702,358900,"CHARLOTTESVILLE"
1974,NA,"Average",1,1806,4,3,0,8,0.329,456300,"CHARLOTTESVILLE"
1975,NA,"Good",1,1320,3,2,1,7,0.2884,390500,"CHARLOTTESVILLE"
1975,NA,"Average",2,1334,3,2,1,7,0.21,342600,"CHARLOTTESVILLE"
1975,NA,"Average",2,1440,3,2,2,6,0.2584,378400,"CHARLOTTESVILLE"
1977,NA,"Average",2,1440,3,2,2,8,0.2774,376900,"CHARLOTTESVILLE"
1986,NA,"Average",1,1300,3,2,0,6,0.3371,366000,"CHARLOTTESVILLE"
1985,NA,"Average",1,2150,4,4,0,11,0.3162,491500,"CHARLOTTESVILLE"
1978,NA,"Average",3,1551,3,3,0,7,0.3121,399300,"CHARLOTTESVILLE"
1981,NA,"Average",1,1349,4,3,0,8,0.2618,385300,"CHARLOTTESVILLE"
1981,NA,"Average",1,1196,4,2,1,7,0.2304,373400,"CHARLOTTESVILLE"
1977,NA,"Average",1,1225,3,2,1,7,0.2918,369500,"CHARLOTTESVILLE"
1978,NA,"Average",1,1275,3,2,1,7,0.3634,359900,"CHARLOTTESVILLE"
1977,NA,"Average",1,1326,5,3,0,9,0.39,398300,"CHARLOTTESVILLE"
1976,NA,"Good",1,1329,4,3,0,8,0.33,418200,"CHARLOTTESVILLE"
1976,NA,"Average",1,1269,3,2,1,7,0.3552,394300,"CHARLOTTESVILLE"
1976,NA,"Average",1,1161,3,2,1,6,0.3403,373600,"CHARLOTTESVILLE"
1929,NA,"Average",1,2112,4,3,0,8,0.432,525100,"CHARLOTTESVILLE"
1978,NA,"Average",1.5,1747,4,2,0,7,0.4367,379100,"CHARLOTTESVILLE"
1978,NA,"Average",1,1267,3,3,0,7,0.3892,373800,"CHARLOTTESVILLE"
1978,NA,"Average",1,1276,4,2,1,6,0.317,371300,"CHARLOTTESVILLE"
1985,NA,"Average",1,1560,3,2,0,6,0.397,379600,"CHARLOTTESVILLE"
1978,NA,"Good",2,1440,3,3,1,9,0.2533,384300,"CHARLOTTESVILLE"
1976,NA,"Average",1.7,1904,4,3,0,9,0.2756,439100,"CHARLOTTESVILLE"
1977,NA,"Average",1,1200,3,2,1,7,0.298,400400,"CHARLOTTESVILLE"
1978,NA,"Good",1,1175,4,3,0,8,0.3203,394400,"CHARLOTTESVILLE"
1983,NA,"Average",1,2152,3,2,1,6,0.3427,540900,"CHARLOTTESVILLE"
1979,NA,"Average",1.5,1944,3,2,0,7,0.3366,417500,"CHARLOTTESVILLE"
1978,NA,"Good",1,1300,4,3,0,8,0.339,461200,"CHARLOTTESVILLE"
1979,2020,"Good",1.7,1816,3,2,1,6,0.4363,408700,"CHARLOTTESVILLE"
1985,NA,"Average",1,906,2,3,0,5,0,267800,"CHARLOTTESVILLE"
1985,NA,"Average",1,1097,2,2,0,5,0,265900,"CHARLOTTESVILLE"
1985,NA,"Average",1,1066,3,3,0,6,0,313300,"CHARLOTTESVILLE"
1985,NA,"Average",1,1144,3,3,0,6,0,313100,"CHARLOTTESVILLE"
1985,NA,"Average",1,1153,2,2,0,5,0,242700,"CHARLOTTESVILLE"
1985,NA,"Average",1,946,2,2,0,5,0,243500,"CHARLOTTESVILLE"
1984,NA,"Average",1,1144,4,3,0,7,0,293100,"CHARLOTTESVILLE"
1984,NA,"Average",1,908,3,2,0,6,0,234600,"CHARLOTTESVILLE"
1984,NA,"Average",1,1120,4,3,0,7,0,293300,"CHARLOTTESVILLE"
1985,NA,"Average",1,1120,2,2,0,5,0,269400,"CHARLOTTESVILLE"
1985,NA,"Average",1,948,2,2,0,5,0,223300,"CHARLOTTESVILLE"
1985,NA,"Poor",1,948,2,2,0,5,0,177800,"CHARLOTTESVILLE"
1985,NA,"Poor",1,1062,2,2,0,5,0,201900,"CHARLOTTESVILLE"
1984,NA,"Average",1,1038,2,2,0,5,0,249000,"CHARLOTTESVILLE"
1984,NA,"Average",1,1138,2,2,0,5,0,249800,"CHARLOTTESVILLE"
1984,NA,"Average",1,968,3,2,1,6,0,270200,"CHARLOTTESVILLE"
1984,NA,"Average",1,1092,2,2,1,7,0,291100,"CHARLOTTESVILLE"
1984,NA,"Average",1,1126,3,3,0,6,0,274600,"CHARLOTTESVILLE"
1984,NA,"Average",1,1092,2,2,0,5,0,239200,"CHARLOTTESVILLE"
1984,NA,"Average",1,1144,2,2,0,5,0,268300,"CHARLOTTESVILLE"
1985,NA,"Average",1,1572,2,2,0,5,0,328500,"CHARLOTTESVILLE"
1985,NA,"Average",1,1144,2,3,0,5,0,289700,"CHARLOTTESVILLE"
1985,NA,"Average",1,1144,2,2,0,6,0,312700,"CHARLOTTESVILLE"
1985,NA,"Average",1,1100,1,2,1,6,0,302800,"CHARLOTTESVILLE"
1985,NA,"Average",1,968,1,1,1,4,0,241100,"CHARLOTTESVILLE"
1985,NA,"Average",1,1100,2,3,0,5,0,313500,"CHARLOTTESVILLE"
1989,NA,"Average",1,1084,2,1,0,5,0.062,274500,"CHARLOTTESVILLE"
1989,NA,"Average",1,1084,3,2,0,7,0.041,263400,"CHARLOTTESVILLE"
1989,NA,"Average",1,1418,3,3,0,6,0.052,310800,"CHARLOTTESVILLE"
1989,NA,"Average",1,1418,3,2,0,7,0.053,297600,"CHARLOTTESVILLE"
1989,NA,"Average",1,1213,2,2,1,6,0.055,294600,"CHARLOTTESVILLE"
1989,NA,"Average",1,1213,3,2,1,6,0.083,312900,"CHARLOTTESVILLE"
1989,NA,"Fair",1,1418,2,3,0,5,0.087,274500,"CHARLOTTESVILLE"
1989,NA,"Average",1,1488,3,3,0,7,0.088,313800,"CHARLOTTESVILLE"
1989,NA,"Good",1,1152,3,2,1,6,0,327400,"CHARLOTTESVILLE"
1989,NA,"Average",1,1232,2,2,1,6,0,317600,"CHARLOTTESVILLE"
1989,NA,"Average",1,1491,2,2,0,6,0,336000,"CHARLOTTESVILLE"
1989,NA,"Excellent",1,1412,3,3,0,5,0,352500,"CHARLOTTESVILLE"
1989,NA,"Average",1,1116,2,2,0,6,0,272500,"CHARLOTTESVILLE"
1989,NA,"Average",1,1156,3,2,0,7,0,294100,"CHARLOTTESVILLE"
1990,NA,"Average",1,1127,3,2,0,7,0.069,285900,"CHARLOTTESVILLE"
1990,NA,"Good",1,1130,3,2,0,6,0.042,273700,"CHARLOTTESVILLE"
1990,NA,"Average",1,1431,3,3,0,5,0.05,307500,"CHARLOTTESVILLE"
1990,NA,"Average",1,1451,3,3,0,6,0.092,334700,"CHARLOTTESVILLE"
1990,NA,"Average",1,1516,3,2,1,6,0.065,325000,"CHARLOTTESVILLE"
1990,NA,"Good",1,1515,3,2,0,6,0.069,351400,"CHARLOTTESVILLE"
1994,NA,"Average",1,1564,2,3,0,5,0,372200,"CHARLOTTESVILLE"
1994,NA,"Average",1,1540,3,3,0,6,0,348100,"CHARLOTTESVILLE"
1994,NA,"Average",1,1540,2,2,0,4,0,322700,"CHARLOTTESVILLE"
1994,NA,"Average",1,1569,3,3,0,7,0,379900,"CHARLOTTESVILLE"
1994,NA,"Average",1,1564,3,3,0,8,0,345800,"CHARLOTTESVILLE"
1994,NA,"Average",1,1564,3,2,0,6,0,347900,"CHARLOTTESVILLE"
1990,NA,"Average",1,983,2,1,0,4,0.045,241900,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,1622,2,2,0,5,0.038,281600,"CHARLOTTESVILLE"
1990,NA,"Average",1,948,2,1,0,5,0.04,217200,"CHARLOTTESVILLE"
1990,NA,"Good",1,898,1,1,0,4,0.04,225000,"CHARLOTTESVILLE"
1990,NA,"Average",1,1238,2,2,0,5,0.056,274900,"CHARLOTTESVILLE"
1990,NA,"Fair",1,981,1,1,0,4,0.055,211900,"CHARLOTTESVILLE"
1990,NA,"Good",1,885,1,1,0,4,0.039,223200,"CHARLOTTESVILLE"
1990,NA,"Average",1,983,1,1,0,4,0.054,241900,"CHARLOTTESVILLE"
1990,NA,"Average",1,983,1,1,0,4,0,239300,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,1622,2,2,0,5,0,281600,"CHARLOTTESVILLE"
1990,NA,"Average",1,1216,2,2,0,5,0,266700,"CHARLOTTESVILLE"
1990,NA,"Average",1,1231,2,2,0,5,0,272900,"CHARLOTTESVILLE"
1990,NA,"Fair",1,1250,2,2,0,5,0,222700,"CHARLOTTESVILLE"
1990,NA,"Average",1,1211,2,2,0,4,0,268500,"CHARLOTTESVILLE"
1990,NA,"Average",1,960,2,1,0,5,0,233500,"CHARLOTTESVILLE"
1990,NA,"Average",1,1296,2,2,0,5,0,256900,"CHARLOTTESVILLE"
1990,NA,"Average",1.7,1622,3,2,0,5,0,281300,"CHARLOTTESVILLE"
1990,NA,"Average",1,1276,2,2,0,5,0,276700,"CHARLOTTESVILLE"
1991,NA,"Average",1,1187,2,2,0,5,0,265700,"CHARLOTTESVILLE"
1991,NA,"Average",1.7,1622,3,2,1,6,0,284900,"CHARLOTTESVILLE"
1991,NA,"Average",1,1347,2,2,0,5,0,260400,"CHARLOTTESVILLE"
1991,NA,"Average",1,969,2,1,0,5,0,235700,"CHARLOTTESVILLE"
1991,NA,"Average",1,1195,2,2,0,5,0,265100,"CHARLOTTESVILLE"
1991,NA,"Average",1,1272,2,2,0,5,0,252900,"CHARLOTTESVILLE"
1991,NA,"Average",1,942,2,1,0,5,0,216700,"CHARLOTTESVILLE"
1991,NA,"Good",1,1194,2,2,0,5,0,266400,"CHARLOTTESVILLE"
1991,NA,"Average",1.7,1622,3,2,1,6,0,284900,"CHARLOTTESVILLE"
1991,NA,"Average",1,1272,2,2,0,5,0,272000,"CHARLOTTESVILLE"
1993,NA,"Average",1,1198,2,2,0,5,0,266600,"CHARLOTTESVILLE"
1993,NA,"Average",1.7,1622,3,2,1,6,0,287600,"CHARLOTTESVILLE"
1993,NA,"Average",1,992,2,1,0,5,0,222100,"CHARLOTTESVILLE"
1993,NA,"Average",1,1275,2,2,0,5,0,263700,"CHARLOTTESVILLE"
1993,NA,"Excellent",1,992,2,1,0,5,0,241500,"CHARLOTTESVILLE"
1993,NA,"Average",1,1116,2,1,0,5,0,233700,"CHARLOTTESVILLE"
1993,NA,"Average",1,1196,2,2,0,5,0,265900,"CHARLOTTESVILLE"
1992,NA,"Average",1,1199,2,2,0,5,0,265300,"CHARLOTTESVILLE"
1992,NA,"Average",1,995,2,1,0,4,0,224600,"CHARLOTTESVILLE"
1992,NA,"Average",1,756,1,1,0,3,0,196700,"CHARLOTTESVILLE"
1992,NA,"Average",1.7,1622,3,2,1,6,0,285400,"CHARLOTTESVILLE"
1992,NA,"Average",1,1175,2,2,0,5,0,257400,"CHARLOTTESVILLE"
1992,NA,"Average",1,1346,2,2,0,5,0,280400,"CHARLOTTESVILLE"
1992,NA,"Average",1,992,2,1,0,5,0,222100,"CHARLOTTESVILLE"
1992,NA,"Average",1,802,1,1,0,4,0,202600,"CHARLOTTESVILLE"
1992,NA,"Average",1,1196,2,2,0,5,0,247200,"CHARLOTTESVILLE"
1992,NA,"Average",1,1146,2,1,0,5,0,253900,"CHARLOTTESVILLE"
1994,NA,"Good",1,1411,2,2,0,6,0.058,306700,"CHARLOTTESVILLE"
1994,NA,"Average",1,1699,3,3,0,6,0.081,310700,"CHARLOTTESVILLE"
1994,NA,"Average",1,1112,2,1,0,5,0.038,234200,"CHARLOTTESVILLE"
1994,NA,"Average",1.7,1626,3,2,1,6,0.039,287600,"CHARLOTTESVILLE"
1994,NA,"Average",1,1343,2,2,0,5,0.063,281200,"CHARLOTTESVILLE"
1995,NA,"Average",1,1197,2,2,0,4,0.064,267800,"CHARLOTTESVILLE"
1995,NA,"Average",1,1112,2,1,0,5,0.038,234200,"CHARLOTTESVILLE"
1995,NA,"Average",1,1705,3,2,0,6,0.069,302300,"CHARLOTTESVILLE"
1995,NA,"Excellent",1,992,2,1,0,4,0.033,242500,"CHARLOTTESVILLE"
1995,NA,"Average",1.7,1626,3,2,1,6,0.033,286600,"CHARLOTTESVILLE"
1995,NA,"Average",1,1197,2,2,0,5,0.054,268600,"CHARLOTTESVILLE"
1995,NA,"Average",1,1197,2,2,0,5,0.06,267600,"CHARLOTTESVILLE"
1995,NA,"Average",1.7,1626,3,2,1,6,0.037,286500,"CHARLOTTESVILLE"
1995,NA,"Average",1,1152,2,1,0,5,0.038,236500,"CHARLOTTESVILLE"
1995,NA,"Average",1,1267,2,2,0,5,0.074,256500,"CHARLOTTESVILLE"
1995,NA,"Average",1,1144,2,1,0,5,0.038,237400,"CHARLOTTESVILLE"
1995,NA,"Average",1.7,1835,3,2,1,6,0.04,309400,"CHARLOTTESVILLE"
1995,NA,"Fair",1,1414,2,2,0,5,0.084,253700,"CHARLOTTESVILLE"
1994,NA,"Average",1,1197,2,2,0,5,0.069,270700,"CHARLOTTESVILLE"
1994,NA,"Fair",1.7,1626,3,2,1,5,0.037,250500,"CHARLOTTESVILLE"
1994,NA,"Average",1,992,2,1,0,4,0.035,221700,"CHARLOTTESVILLE"
1996,NA,"Average",1,1196,2,2,0,5,0.063,268700,"CHARLOTTESVILLE"
1996,NA,"Average",1.7,1622,3,2,1,5,0.039,287700,"CHARLOTTESVILLE"
1996,NA,"Good",1,1152,2,2,0,5,0.039,256200,"CHARLOTTESVILLE"
1996,NA,"Average",1,1152,2,1,0,5,0.039,236500,"CHARLOTTESVILLE"
1996,NA,"Average",1,1152,2,1,0,5,0.039,236500,"CHARLOTTESVILLE"
1996,NA,"Average",1,1152,2,1,0,5,0.039,236500,"CHARLOTTESVILLE"
1996,NA,"Average",1,1390,2,2,0,6,0.062,286000,"CHARLOTTESVILLE"
1996,NA,"Average",1,1193,2,2,0,4,0.076,267200,"CHARLOTTESVILLE"
1996,NA,"Average",1,1152,2,2,0,4,0.044,241500,"CHARLOTTESVILLE"
1996,NA,"Average",1,1153,2,1,0,4,0.044,236600,"CHARLOTTESVILLE"
1996,NA,"Average",1,1152,2,1,0,4,0.044,236500,"CHARLOTTESVILLE"
1996,NA,"Average",1,1312,2,2,0,4,0.072,269300,"CHARLOTTESVILLE"
1997,NA,"Average",1,1192,2,2,0,4,0.073,267200,"CHARLOTTESVILLE"
1997,NA,"Good",1,1152,2,1,0,4,0.044,250800,"CHARLOTTESVILLE"
1997,NA,"Average",1,1152,2,2,0,4,0.044,241500,"CHARLOTTESVILLE"
1997,NA,"Average",1,1368,2,2,0,4,0.094,283300,"CHARLOTTESVILLE"
1870,NA,"Average",2,3776,4,3,0,8,10.76,1994900,"CHARLOTTESVILLE"
1754,NA,"Average",1,1302,3,1,0,6,NA,NA,NA
1996,NA,"Average",2.5,1884,3,2,0,8,NA,NA,NA
1920,NA,"Poor",2,3840,5,4,0,9,NA,NA,NA
