"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1890,1990,"Average",1.3,1471,2,2,0,4,84.99,1097200,"DYKE"
1934,1988,"Average",1.3,1170,3,1,0,6,56.193,668100,"FREE UNION"
1989,NA,"Average",1,1100,3,2,0,5,4.774,302300,"FREE UNION"
1994,NA,"Average",1,1104,2,1,1,4,4.569,273200,"FREE UNION"
1991,NA,"Average",2,2802,4,3,2,8,28.06,1007100,"FREE UNION"
1927,NA,"Poor",1.3,814,2,0,0,5,79.25,602600,"FREE UNION"
1997,NA,"Average",1.5,4062,5,3,1,8,5.67,691900,"FREE UNION"
1955,NA,"Poor",1,896,3,2,0,5,3.07,80300,"FREE UNION"
1974,NA,"Average",1,1224,2,2,0,5,3.62,156400,"FREE UNION"
1989,NA,"Average",1,1127,2,2,0,5,2.01,147700,"FREE UNION"
1942,NA,"Average",1.5,1536,3,1,0,7,NA,NA,NA
1936,NA,"Fair",1,540,1,1,0,2,NA,NA,NA
1963,1988,"Average",1,3819,4,3,0,7,NA,NA,NA
1998,NA,"Average",1,1344,3,2,0,0,NA,NA,NA
1930,NA,"Average",1.5,1526,3,2,0,6,3.9,246100,"FREE UNION"
1963,NA,"Average",1,2149,3,3,0,6,0,578100,NA
2020,NA,"Good",2,4390,4,4,1,10,10.41,1384400,"FREE UNION"
NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,175100,NA
1963,NA,"Average",1,2149,3,3,0,6,5,437100,"FREE UNION"
1997,NA,"Average",1.5,936,2,1,1,5,NA,NA,NA
1970,NA,"Very Poor",1,576,2,1,0,4,NA,NA,NA
2005,NA,"Average",1,1222,1,1,0,4,6,349800,"FREE UNION"
2010,NA,"Average",1.5,1943,3,2,1,6,8.21,437500,"FREE UNION"
1966,NA,"Average",1,1163,3,1,0,6,10.756,382400,"EARLYSVILLE"
1810,1991,"Average",1.9,4324,3,3,0,8,56,1267700,"EARLYSVILLE"
1985,NA,"Average",2,2910,3,1,1,6,NA,NA,NA
2000,NA,"Average",1.7,1260,0,0,0,5,NA,NA,NA
1910,NA,"Average",1.7,1332,3,1,0,4,38.99,745200,"EARLYSVILLE"
1972,NA,"Average",1,768,2,1,0,4,28.59,492100,"EARLYSVILLE"
1972,NA,"Average",1,1248,2,1,0,4,1.76,231700,"EARLYSVILLE"
1972,NA,"Average",1,1420,3,2,0,5,3.95,293200,"EARLYSVILLE"
1977,1999,"Average",1,3604,4,3,0,8,25.04,1208100,"EARLYSVILLE"
1999,NA,"Good",1.9,3084,3,3,1,7,16.34,1316400,"EARLYSVILLE"
1992,NA,"Average",1,1648,3,2,0,6,7.28,444700,"EARLYSVILLE"
2020,NA,"Average",2,4000,5,4,1,14,NA,NA,NA
2020,NA,"Average",1,1260,2,1,0,5,NA,NA,NA
1986,NA,"Average",1,1352,3,2,0,6,1.859,286800,"EARLYSVILLE"
2005,NA,"Average",1.5,4164,4,4,0,10,143.51,994000,"EARLYSVILLE"
2005,NA,"Average",1.3,3124,4,3,1,0,174.39,1764800,"EARLYSVILLE"
1982,NA,"Average",1.5,1837,3,3,0,6,49.101,781300,"DYKE"
2007,NA,"Average",1,1260,2,2,0,5,NA,NA,NA
1915,NA,"Average",2,2252,3,1,0,6,NA,NA,NA
1979,1998,"Average",2,3411,4,3,0,8,NA,NA,NA
2012,NA,"Average",1,1858,2,1,1,6,NA,NA,NA
1891,NA,"Average",1.3,1568,3,1,1,5,27.5,399300,"DYKE"
2014,NA,"Average",1.5,1908,3,2,1,7,NA,NA,NA
2020,NA,"Average",1,840,1,1,0,3,NA,NA,NA
1997,NA,"Average",1,1620,3,2,0,6,1.104,140700,"DYKE"
1930,NA,"Fair",2,1272,4,1,0,6,2.5616,116000,"DYKE"
1960,2006,"Average",1,720,3,2,0,6,2.971,203500,"DYKE"
1969,NA,"Average",1.3,748,2,1,0,4,32.98,344500,"DYKE"
1920,NA,"Very Poor",1.9,2960,3,2,0,8,8.126,171100,"DYKE"
1910,NA,"Average",2,6048,4,4,2,0,4.4,427700,"DYKE"
2006,NA,"Average",1.7,2664,4,2,1,8,1.336,449400,"DYKE"
1850,NA,"Poor",2,2264,4,2,0,7,5.5,214400,"DYKE"
1945,NA,"Average",1,704,2,1,0,4,12.123,233200,"DYKE"
2019,NA,"Average",1,1456,3,2,0,5,1.4731,311700,"DYKE"
1895,1996,"Average",1.5,1336,2,1,0,4,1.548,203700,"DYKE"
1995,NA,"Average",1.7,2736,4,2,1,8,NA,NA,NA
2017,NA,"Average",1,1824,3,2,0,8,NA,NA,NA
1942,NA,"Average",1,1345,2,1,0,5,2.097,186200,"EARLYSVILLE"
1994,NA,"Average",1,1728,3,2,0,6,2.525,174400,"DYKE"
1995,NA,"Average",1,1702,3,2,0,5,2.013,341000,"DYKE"
2003,NA,"Average",1.9,3483,3,2,1,0,33.98,925700,"EARLYSVILLE"
1950,1970,"Average",1,988,2,1,0,4,23.5,418100,"EARLYSVILLE"
2006,NA,"Good",2,4662,6,5,1,10,3.5,970300,"EARLYSVILLE"
2006,NA,"Average",1,2250,3,2,1,7,2.1,385100,"EARLYSVILLE"
1970,NA,"Average",1,1080,0,1,0,0,7.753,332500,"EARLYSVILLE"
1944,1991,"Fair",1.3,928,2,1,0,4,2,124500,"EARLYSVILLE"
1988,NA,"Average",1.5,1700,3,2,0,6,NA,NA,NA
2006,NA,"Average",1,720,2,1,0,5,NA,NA,NA
2008,NA,"Average",1.9,1996,3,2,1,7,4,424300,"EARLYSVILLE"
2013,NA,"Average",1,2014,4,2,0,7,2.31,254100,"EARLYSVILLE"
1952,1992,"Average",1,1593,3,1,0,5,3.23,399800,"EARLYSVILLE"
1960,NA,"Fair",1,1140,3,1,0,5,NA,NA,NA
1935,NA,"Average",1,913,1,1,0,0,NA,NA,NA
1952,NA,"Average",1.5,1080,3,1,0,6,2.156,158700,"DYKE"
1975,1985,"Average",1.5,1777,3,2,0,5,13.878,427900,"EARLYSVILLE"
1985,NA,"Average",1.5,1710,2,2,0,4,10,420500,"EARLYSVILLE"
1978,NA,"Average",1,1296,3,1,1,5,3.401,164500,"DYKE"
1985,NA,"Average",1,1484,3,2,0,10,2,293800,"DYKE"
1984,NA,"Average",1.7,1344,2,1,1,5,2,285100,"DYKE"
1987,NA,"Average",1.7,1360,3,2,0,6,2,265400,"DYKE"
1920,NA,"Fair",2,1218,0,0,0,0,NA,NA,NA
2004,NA,"Average",2,1150,1,1,1,0,NA,NA,NA
2010,NA,"Average",1.3,3447,3,3,2,8,NA,NA,NA
2005,NA,"Average",1.5,4730,3,2,3,8,37.5,1260500,"EARLYSVILLE"
1913,2020,"Average",2,3132,4,1,0,8,71.2,1087500,"EARLYSVILLE"
1985,NA,"Average",1.3,1652,3,1,1,6,3.27,298200,"EARLYSVILLE"
2015,NA,"Average",2,2184,4,3,0,8,21.21,618100,"EARLYSVILLE"
1979,NA,"Fair",1,1508,3,2,0,7,7.284,327200,"EARLYSVILLE"
1984,NA,"Fair",1,960,3,1,0,5,2,174200,"DYKE"
1977,NA,"Average",1,1160,3,1,0,5,2.003,156400,"DYKE"
1976,NA,"Average",1,960,3,1,0,5,2,155100,"DYKE"
1978,NA,"Fair",1,960,3,2,0,5,2.005,133900,"DYKE"
1994,NA,"Fair",0,924,2,2,0,4,5.771,156400,"EARLYSVILLE"
1991,2018,"Excellent",2,2144,3,2,1,7,3.409,444600,"EARLYSVILLE"
2004,NA,"Average",1,1736,3,3,1,0,5,323500,"DYKE"
2007,NA,"Average",2,2240,4,2,1,7,5,332000,"DYKE"
2014,NA,"Average",1,1215,3,2,0,6,13.46,201000,"DYKE"
1932,2001,"Average",1,1202,3,1,1,5,24.175,320800,"DYKE"
1974,NA,"Fair",0,720,0,0,0,0,2.001,76300,"DYKE"
1970,NA,"Average",0,720,0,0,0,0,4.824,111000,"DYKE"
2011,NA,"Average",1.5,972,3,3,0,6,12.102,454700,"EARLYSVILLE"
2018,NA,"Average",1.25,2314,3,3,0,7,2,547200,"EARLYSVILLE"
1890,NA,"Fair",1.9,2209,5,1,0,8,NA,NA,NA
1972,1999,"Average",1,1272,2,1,0,4,NA,NA,NA
1977,NA,"Average",1,1188,3,1,0,5,2.006,271600,"EARLYSVILLE"
1984,NA,"Average",0,840,2,1,0,0,2,111000,"EARLYSVILLE"
1890,NA,"Fair",1.9,2209,5,1,0,8,NA,NA,NA
1972,1999,"Average",1,1272,2,1,0,4,NA,NA,NA
1950,NA,"Average",1,874,2,1,0,5,3.66,214900,"EARLYSVILLE"
1965,NA,"Average",1,1380,3,1,0,5,0.92,225100,"EARLYSVILLE"
1975,NA,"Average",1,1479,3,1,1,5,1,277400,"EARLYSVILLE"
1956,NA,"Fair",1,896,1,1,0,3,13.52,329000,"EARLYSVILLE"
1978,NA,"Average",1,1318,3,2,0,6,10,407300,"EARLYSVILLE"
1962,2002,"Average",1,1889,3,2,0,6,2,300400,"EARLYSVILLE"
1967,1991,"Average",1,972,3,1,0,5,66.23,821000,"EARLYSVILLE"
1969,1999,"Average",1,1410,2,1,0,4,1.81,220700,"EARLYSVILLE"
1983,NA,"Average",1,1344,3,2,0,5,2,221500,"EARLYSVILLE"
1955,NA,"Average",1,1092,3,1,0,6,2,236700,"EARLYSVILLE"
2003,NA,"Average",1,1792,3,2,0,0,6.56,468100,"EARLYSVILLE"
1972,NA,"Very Poor",0,500,2,1,0,0,3.01,122100,"EARLYSVILLE"
1900,NA,"Very Poor",2,728,2,0,0,4,70,1267500,"EARLYSVILLE"
1900,2019,"Good",2,2360,2,1,0,5,60.58,1134700,"EARLYSVILLE"
1981,NA,"Average",1,1885,3,2,0,7,16.423,455300,"EARLYSVILLE"
1957,NA,"Average",1,1097,4,2,0,8,2.05,291400,"EARLYSVILLE"
1969,NA,"Good",1,1743,2,3,0,6,3.59,504000,"EARLYSVILLE"
1987,NA,"Fair",1.9,2012,4,3,1,10,6.88,403000,"EARLYSVILLE"
2016,NA,"Average",1,1512,3,2,0,6,2.15,299200,"EARLYSVILLE"
1949,1991,"Average",1,912,2,1,0,4,8.621,265400,"EARLYSVILLE"
1967,NA,"Average",1,1357,2,1,0,5,2.163,287800,"EARLYSVILLE"
1961,NA,"Average",1,950,3,1,0,6,2,201600,"EARLYSVILLE"
1989,NA,"Average",2,2270,4,2,1,7,2.207,353500,"EARLYSVILLE"
2015,NA,"Average",1,1528,3,1,1,6,NA,NA,NA
2015,NA,"Average",NA,1348,3,2,0,7,NA,NA,NA
1969,NA,"Poor",0,744,2,1,0,0,NA,NA,NA
1969,NA,"Average",1,840,2,1,0,3,NA,NA,NA
1988,NA,"Average",1.5,1925,3,3,0,7,0,439700,"EARLYSVILLE"
NA,NA,NA,1.25,2280,3,3,1,7,143.381,650300,"DYKE"
NA,NA,NA,1.5,1920,3,2,1,7,16.78,639700,"DYKE"
1754,NA,"Fair",1.3,1000,3,1,0,5,2.71,191100,"DYKE"
1972,NA,"Poor",1,1008,3,1,0,5,4.173,127300,"DYKE"
1971,NA,"Fair",1,1568,3,1,0,5,2,93200,"DYKE"
2010,NA,"Fair",1,1248,3,2,0,5,2.001,122000,"DYKE"
1963,NA,"Average",1,480,0,0,0,0,3.091,89900,"DYKE"
1972,NA,"Average",1,960,3,1,0,5,2.013,95700,"DYKE"
1987,NA,"Fair",1,1722,3,2,0,0,NA,NA,NA
1990,NA,"Fair",1,980,2,1,0,NA,NA,NA,NA
1754,NA,"Fair",1,1200,3,1,0,6,NA,NA,NA
1754,1999,"Good",1.7,1326,3,2,0,5,NA,NA,NA
1976,1983,"Average",1,1560,4,2,0,8,2,235500,"DYKE"
1974,NA,"Fair",1,1392,3,1,0,5,2.001,174400,"DYKE"
